year,tanyspring,tanysummer
1977,143,964
1978,2346,37452
1979,49311,9861
1980,65355,23288
1981,181832,46596
1982,21941,11105
1983,490,98
1984,26,57
1985,340,1818
1986,9199,46630
1987,69795,30210
1988,76,13
1989,33,99
1990,482,4275
1991,38941,44806
1992,141818,19565
1993,53907,87860
1994,68793,53209
1995,14496,9033
1996,50876,13068
1997,850,246
1998,21,450
1999,3306,2613
2000,180819,24228
2001,53690,16235
2002,22420,4263
2003,18,3
2004,1,0
2005,24,27
2006,411,908
2007,62055,5214
2008,13656,3158
2009,8791,633
2010,3956,3082
2011,6,6
2012,36,135
2013,777,540
2014,110574,1584
2015,6918,2955