core,rack,site,site_depth,column_depth,cross_section_area,midge_treat,sampledate,adults,pupae,comments,midges,cumem,prop,days,adults_rate,midge_z,midge_density
1,1,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-25,2,0,NA,0,3,NA,1,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-28,6,0,NA,0,9,NA,3,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-30,0,0,NA,0,9,NA,2,0,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-01,4,0,NA,0,13,NA,2,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-03,0,0,NA,0,13,NA,2,0,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-06,0,0,NA,0,13,NA,3,0,-0.5907269532815761,0
2,1,E2,2.8,13,19.63,50,2017-07-24,3,0,NA,25471,3,0.06,1,3,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-25,2,0,NA,25471,5,0.1,1,2,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-28,4,0,NA,25471,9,0.18,3,1.3333333333333333,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-30,1,0,NA,25471,10,0.2,2,0.5,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-01,3,0,NA,25471,13,0.26,2,1.5,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-03,0,0,NA,25471,13,0.26,2,0,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-06,1,0,NA,25471,14,0.28,3,0.3333333333333333,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-24,3,0,NA,25471,3,0.06,1,3,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-25,2,0,NA,25471,5,0.1,1,2,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-28,12,0,NA,25471,17,0.34,3,4,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-30,5,0,NA,25471,22,0.44,2,2.5,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-01,2,0,NA,25471,24,0.48,2,1,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-03,4,0,NA,25471,28,0.56,2,2,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-06,1,0,NA,25471,29,0.58,3,0.3333333333333333,-0.2531686942635326,25471
4,1,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-25,2,0,NA,0,3,NA,1,2,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-28,4,0,NA,0,7,NA,3,1.3333333333333333,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-30,3,0,NA,0,10,NA,2,1.5,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-01,0,0,NA,0,10,NA,2,0,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-03,0,0,NA,0,10,NA,2,0,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-06,1,0,NA,0,11,NA,3,0.3333333333333333,-0.5907269532815761,0
5,1,E2,2.8,13,19.63,100,2017-07-24,5,0,NA,50942,5,0.05,1,5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-25,0,0,NA,50942,5,0.05,1,0,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-28,5,0,NA,50942,10,0.1,3,1.6666666666666667,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-30,3,0,NA,50942,13,0.13,2,1.5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-01,1,0,NA,50942,14,0.14,2,0.5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-03,2,1,NA,50942,16,0.16,2,1,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-06,0,0,NA,50942,16,0.16,3,0,0.08438956475451087,50942
6,1,E2,2.8,13,19.63,200,2017-07-24,12,0,NA,101885,12,0.06,1,12,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-25,4,0,NA,101885,16,0.08,1,4,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-28,5,0,NA,101885,21,0.105,3,1.6666666666666667,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-30,7,0,NA,101885,28,0.14,2,3.5,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-01,1,0,NA,101885,29,0.145,2,0.5,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-03,2,0,NA,101885,31,0.155,2,1,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-06,2,0,NA,101885,33,0.165,3,0.6666666666666666,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-24,10,0,NA,101885,10,0.05,1,10,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-25,5,0,NA,101885,15,0.075,1,5,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-28,7,0,NA,101885,22,0.11,3,2.3333333333333335,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-30,3,0,NA,101885,25,0.125,2,1.5,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-01,0,0,hole in bag,101885,25,0.125,2,0,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-03,2,0,NA,101885,27,0.135,2,1,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-06,2,0,NA,101885,29,0.145,3,0.6666666666666666,0.7595060827905978,101885
8,1,E2,2.8,13,19.63,100,2017-07-24,15,0,NA,50942,15,0.15,1,15,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-25,8,0,NA,50942,23,0.23,1,8,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-28,6,0,NA,50942,29,0.29,3,2,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-30,3,0,NA,50942,32,0.32,2,1.5,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-01,3,0,NA,50942,35,0.35,2,1.5,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-03,2,0,NA,50942,37,0.37,2,1,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-06,4,0,NA,50942,41,0.41,3,1.3333333333333333,0.08438956475451087,50942
9,2,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-25,0,0,NA,0,1,NA,1,0,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-28,2,0,NA,0,3,NA,3,0.6666666666666666,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-30,4,0,NA,0,7,NA,2,2,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-01,1,0,NA,0,8,NA,2,0.5,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-03,5,0,NA,0,13,NA,2,2.5,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-06,2,0,NA,0,15,NA,3,0.6666666666666666,-0.5907269532815761,0
10,2,E2,2.8,13,19.63,50,2017-07-24,1,0,NA,25471,1,0.02,1,1,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-07-25,8,0,NA,25471,9,0.18,1,8,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-07-28,16,0,NA,25471,25,0.5,3,5.333333333333333,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-07-30,5,0,NA,25471,30,0.6,2,2.5,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-08-01,2,0,NA,25471,32,0.64,2,1,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-08-03,1,0,NA,25471,33,0.66,2,0.5,-0.2531686942635326,25471
10,2,E2,2.8,13,19.63,50,2017-08-06,3,0,NA,25471,36,0.72,3,1,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-07-24,2,0,NA,25471,2,0.04,1,2,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-07-25,2,0,NA,25471,4,0.08,1,2,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-07-28,5,0,NA,25471,9,0.18,3,1.6666666666666667,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-07-30,1,0,NA,25471,10,0.2,2,0.5,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-08-01,2,0,NA,25471,12,0.24,2,1,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-08-03,4,0,NA,25471,16,0.32,2,2,-0.2531686942635326,25471
11,2,E2,2.8,13,19.63,50,2017-08-06,1,0,NA,25471,17,0.34,3,0.3333333333333333,-0.2531686942635326,25471
12,2,E2,2.8,13,19.63,0,2017-07-24,3,0,NA,0,3,NA,1,3,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-07-25,0,0,NA,0,3,NA,1,0,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-07-28,1,0,NA,0,4,NA,3,0.3333333333333333,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-07-30,0,0,NA,0,4,NA,2,0,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-08-01,3,0,1 escaped,0,7,NA,2,1.5,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-08-03,2,0,NA,0,9,NA,2,1,-0.5907269532815761,0
12,2,E2,2.8,13,19.63,0,2017-08-06,2,0,NA,0,11,NA,3,0.6666666666666666,-0.5907269532815761,0
13,2,E2,2.8,13,19.63,100,2017-07-24,3,0,NA,50942,3,0.03,1,3,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-07-25,3,0,NA,50942,6,0.06,1,3,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-07-28,9,0,NA,50942,15,0.15,3,3,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-07-30,4,0,NA,50942,19,0.19,2,2,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-08-01,5,0,NA,50942,24,0.24,2,2.5,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-08-03,6,0,NA,50942,30,0.3,2,3,0.08438956475451087,50942
13,2,E2,2.8,13,19.63,100,2017-08-06,3,0,NA,50942,33,0.33,3,1,0.08438956475451087,50942
14,2,E2,2.8,13,19.63,200,2017-07-24,10,0,NA,101885,10,0.05,1,10,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-07-25,6,0,NA,101885,16,0.08,1,6,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-07-28,5,0,NA,101885,21,0.105,3,1.6666666666666667,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-07-30,3,0,NA,101885,24,0.12,2,1.5,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-08-01,3,0,NA,101885,27,0.135,2,1.5,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-08-03,1,0,NA,101885,28,0.14,2,0.5,0.7595060827905978,101885
14,2,E2,2.8,13,19.63,200,2017-08-06,2,0,NA,101885,30,0.15,3,0.6666666666666666,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-07-24,5,0,NA,101885,5,0.025,1,5,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-07-25,5,0,NA,101885,10,0.05,1,5,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-07-28,6,0,NA,101885,16,0.08,3,2,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-07-30,1,0,NA,101885,17,0.085,2,0.5,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-08-01,0,0,NA,101885,17,0.085,2,0,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-08-03,12,0,NA,101885,29,0.145,2,6,0.7595060827905978,101885
15,2,E2,2.8,13,19.63,200,2017-08-06,4,0,NA,101885,33,0.165,3,1.3333333333333333,0.7595060827905978,101885
16,2,E2,2.8,13,19.63,100,2017-07-24,4,0,NA,50942,4,0.04,1,4,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-07-25,4,0,NA,50942,8,0.08,1,4,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-07-28,10,0,NA,50942,18,0.18,3,3.3333333333333335,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-07-30,3,0,NA,50942,21,0.21,2,1.5,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-08-01,8,0,NA,50942,29,0.29,2,4,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-08-03,6,0,NA,50942,35,0.35,2,3,0.08438956475451087,50942
16,2,E2,2.8,13,19.63,100,2017-08-06,3,0,NA,50942,38,0.38,3,1,0.08438956475451087,50942
17,3,E3,3.3,13,19.63,0,2017-07-24,0,0,NA,0,0,NA,1,0,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-07-25,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-07-28,1,0,NA,0,2,NA,3,0.3333333333333333,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-07-30,0,0,NA,0,2,NA,2,0,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-08-01,0,0,NA,0,2,NA,2,0,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-08-03,2,0,NA,0,4,NA,2,1,-0.5907269532815761,0
17,3,E3,3.3,13,19.63,0,2017-08-06,0,0,NA,0,4,NA,3,0,-0.5907269532815761,0
18,3,E3,3.3,13,19.63,50,2017-07-24,2,0,NA,25471,2,0.04,1,2,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-07-25,1,0,NA,25471,3,0.06,1,1,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-07-28,9,0,NA,25471,12,0.24,3,3,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-07-30,3,0,NA,25471,15,0.3,2,1.5,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-08-01,1,0,NA,25471,16,0.32,2,0.5,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-08-03,5,0,NA,25471,21,0.42,2,2.5,-0.2531686942635326,25471
18,3,E3,3.3,13,19.63,50,2017-08-06,1,0,NA,25471,22,0.44,3,0.3333333333333333,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-07-24,5,0,NA,25471,5,0.1,1,5,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-07-25,2,0,NA,25471,7,0.14,1,2,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-07-28,4,0,NA,25471,11,0.22,3,1.3333333333333333,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-07-30,3,0,NA,25471,14,0.28,2,1.5,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-08-01,2,0,NA,25471,16,0.32,2,1,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-08-03,3,0,NA,25471,19,0.38,2,1.5,-0.2531686942635326,25471
19,3,E3,3.3,13,19.63,50,2017-08-06,1,0,NA,25471,20,0.4,3,0.3333333333333333,-0.2531686942635326,25471
20,3,E3,3.3,13,19.63,0,2017-07-24,2,0,NA,0,2,NA,1,2,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-07-25,1,0,NA,0,3,NA,1,1,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-07-28,1,0,NA,0,4,NA,3,0.3333333333333333,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-07-30,0,0,NA,0,4,NA,2,0,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-08-01,0,0,NA,0,4,NA,2,0,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-08-03,1,1,NA,0,5,NA,2,0.5,-0.5907269532815761,0
20,3,E3,3.3,13,19.63,0,2017-08-06,0,0,NA,0,5,NA,3,0,-0.5907269532815761,0
21,3,E3,3.3,13,19.63,100,2017-07-24,9,0,NA,50942,9,0.09,1,9,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-07-25,4,0,NA,50942,13,0.13,1,4,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-07-28,10,0,NA,50942,23,0.23,3,3.3333333333333335,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-07-30,7,0,NA,50942,30,0.3,2,3.5,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-08-01,0,0,NA,50942,30,0.3,2,0,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-08-03,0,0,NA,50942,30,0.3,2,0,0.08438956475451087,50942
21,3,E3,3.3,13,19.63,100,2017-08-06,2,0,NA,50942,32,0.32,3,0.6666666666666666,0.08438956475451087,50942
22,3,E3,3.3,13,19.63,200,2017-07-24,7,0,NA,101885,7,0.035,1,7,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-07-25,2,0,NA,101885,9,0.045,1,2,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-07-28,6,0,NA,101885,15,0.075,3,2,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-07-30,8,0,NA,101885,23,0.115,2,4,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-08-01,3,0,1 escaped,101885,26,0.13,2,1.5,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-08-03,8,0,NA,101885,34,0.17,2,4,0.7595060827905978,101885
22,3,E3,3.3,13,19.63,200,2017-08-06,1,0,NA,101885,35,0.175,3,0.3333333333333333,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-07-24,11,0,NA,101885,11,0.055,1,11,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-07-25,3,0,NA,101885,14,0.07,1,3,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-07-28,9,0,NA,101885,23,0.115,3,3,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-07-30,2,0,NA,101885,25,0.125,2,1,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-08-01,1,0,NA,101885,26,0.13,2,0.5,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-08-03,1,0,NA,101885,27,0.135,2,0.5,0.7595060827905978,101885
23,3,E3,3.3,13,19.63,200,2017-08-06,3,0,NA,101885,30,0.15,3,1,0.7595060827905978,101885
24,3,E3,3.3,13,19.63,100,2017-07-24,9,0,NA,50942,9,0.09,1,9,0.08438956475451087,50942
24,3,E3,3.3,13,19.63,100,2017-07-25,4,0,NA,50942,13,0.13,1,4,0.08438956475451087,50942
24,3,E3,3.3,13,19.63,100,2017-07-28,5,0,NA,50942,18,0.18,3,1.6666666666666667,0.08438956475451087,50942
24,3,E3,3.3,13,19.63,100,2017-07-30,5,0,NA,50942,23,0.23,2,2.5,0.08438956475451087,50942
24,3,E3,3.3,13,19.63,100,2017-08-01,2,0,NA,50942,25,0.25,2,1,0.08438956475451087,50942
24,3,E3,3.3,13,19.63,100,2017-08-03,1,0,NA,50942,26,0.26,2,0.5,0.08438956475451087,50942
